Cap,#,Player,DOB,HT,WT,Games (W-D-L),Goals,Seasons,Debut,Last
678,29,"Bartlett, Kevin",1947-03-06,177cm,71kg,403 (260-4-139),778,1965-1983,18y 56d,36y 174d
1072,8,"Riewoldt, Jack",1988-10-31,193cm,92kg,347 (182-8-157),787,2007-2023,18y 207d,34y 292d
326,17,"Dyer, Jack",1913-11-15,185cm,89kg,311 (205-4-102),443,1931-1949,17y 175d,35y 285d
1077,9,"Cotchin, Trent",1990-04-07,185cm,86kg,306 (168-5-133),141,2008-2023,18y 40d,33y 134d
1069,10,"Edwards, Shane",1988-10-25,182cm,80kg,303 (156-7-140),189,2007-2022,18y 177d,33y 311d
1090,4,"Martin, Dustin",1991-06-26,187cm,93kg,301 (163-4-134),338,2010-2024,18y 272d,33y 4d
693,30,"Bourke, Francis",1947-04-02,185cm,84kg,300 (202-3-95),71,1967-1981,20y 41d,34y 86d
938,9,"Campbell, Wayne",1972-09-23,189cm,88kg,297 (131-1-165),172,1991-2005,18y 209d,32y 339d
287,12,"Titus, Jack",1908-03-09,175cm,66kg,294 (199-3-92),970,1926-1943,18y 130d,35y 165d
961,12,"Richardson, Matthew",1975-03-19,197cm,103kg,282 (116-2-164),800,1993-2009,18y 50d,34y 45d
913,33,"Knights, Matthew",1970-10-05,178cm,79kg,279 (118-0-161),141,1988-2002,17y 299d,31y 294d
797,3,"Weightman, Dale",1959-10-03,170cm,69kg,274 (118-2-154),344,1978-1993,18y 180d,33y 329d
1032,1,"Newman, Chris",1982-05-18,183cm,81kg,268 (105-5-158),56,2002-2015,20y 7d,33y 118d
991,11,"Bowden, Joel",1978-06-21,188cm,91kg,265 (110-1-154),174,1996-2009,18y 36d,31y 55d
64,5,"Thorp, Vic",1890-10-25,178cm,83kg,263 (116-3-144),7,1910-1925,19y 187d,34y 322d
268,1,"Bentley, Perce",1906-12-13,183cm,88kg,263 (176-3-84),275,1925-1940,18y 231d,33y 290d
692,10,"Sheedy, Kevin",1947-12-24,180cm,81kg,251 (166-2-83),91,1967-1979,19y 126d,31y 132d
581,3,"Dean, Roger",1940-04-30,175cm,73kg,245 (133-2-110),204,1957-1973,17y 116d,33y 138d
923,25,"Gale, Brendon",1968-07-18,198cm,104kg,244 (110-1-133),209,1990-2001,21y 256d,33y 66d
1051,3,"Deledio, Brett",1987-04-18,188cm,88kg,243 (110-5-128),182,2005-2016,17y 343d,29y 89d
746,18,"Keane, Merv",1953-07-29,185cm,83kg,238 (149-2-87),36,1972-1984,18y 303d,31y 34d
1101,2,"Grimes, Dylan",1991-07-16,193cm,90kg,234 (139-4-91),3,2010-2024,19y 44d,32y 294d
793,1,"Lee, Mark",1959-03-29,199cm,96kg,233 (103-1-129),94,1977-1991,18y 123d,32y 3d
1118,1,"Vlastuin, Nick",1994-04-19,187cm,88kg,226 (131-4-91),29,2013-2024,19y 7d,30y 72d
780,20,"Jess, Jim",1955-01-25,189cm,85kg,223 (109-3-111),175,1976-1988,21y 160d,33y 173d
760,33,"Cloke, David",1955-01-28,196cm,100kg,219 (123-2-94),272,"1974-1982, 1990-1991",19y 75d,36y 215d
685,8,"Clay, Dick",1945-03-06,185cm,89kg,213 (152-2-59),80,1966-1976,21y 55d,31y 70d
316,16,"ONeill, Kevin",1908-03-20,175cm,79kg,209 (143-2-64),12,1930-1941,22y 44d,33y 58d
745,16,"Wood, Bryan",1954-04-03,185cm,85kg,209 (137-2-70),85,1972-1982,18y 40d,28y 175d
984,2,"Gaspar, Darren",1976-05-20,192cm,90kg,207 (90-0-117),22,1996-2007,19y 322d,30y 343d
1106,14,"Houli, Bachar",1988-05-12,180cm,83kg,206 (119-3-84),34,2011-2021,22y 316d,33y 50d
257,9,"McCormack, Basil",1904-08-03,180cm,80kg,200 (136-3-61),1,1925-1936,20y 272d,32y 33d
789,8,"Roach, Michael",1958-10-09,193cm,92kg,200 (98-1-101),607,1977-1989,18y 224d,30y 306d
1083,18,"Rance, Alex",1989-10-09,194cm,96kg,200 (106-2-92),9,2009-2019,19y 177d,29y 163d
973,4,"Rogers, Matthew",1973-11-25,185cm,90kg,197 (101-1-95),163,1994-2004,20y 121d,30y 228d
342,20,"Harris, Dick",1911-10-21,171cm,73kg,196 (134-2-60),548,1934-1944,22y 196d,32y 331d
463,2,"Wright, Roy",1929-02-23,188cm,103kg,195 (87-0-108),127,1946-1959,17y 154d,30y 131d
36,1,"Herbert, Barney",1889-02-20,188cm,96kg,192 (87-2-103),90,"1909-1912, 1914-1921",20y 70d,32y 237d
40,4,"James, Hughie",1890-05-04,185cm,89kg,188 (83-1-104),119,"1909-1916, 1919-1923",19y 25d,33y 134d
1007,32,"Tivendale, Greg",1979-04-19,185cm,85kg,188 (73-1-114),125,1998-2008,19y 119d,29y 134d
690,4,"Hart, Royce",1948-02-10,187cm,86kg,187 (136-2-49),369,1967-1977,19y 64d,29y 156d
320,9,"Bolger, Martin",1906-08-19,177cm,76kg,185 (127-2-56),2,1930-1939,23y 271d,33y 21d
410,14,"Oppy, Max",1924-10-14,175cm,81kg,185 (102-3-80),29,1942-1954,17y 228d,29y 318d
437,32,"Wilson, Bill",1924-10-18,173cm,75kg,185 (98-1-86),225,1944-1954,19y 229d,29y 314d
256,8,"Geddes, Allan",1903-11-04,173cm,74kg,183 (126-3-54),14,1925-1935,21y 179d,31y 328d
1131,33,"McIntosh, Kamdyn",1994-04-03,191cm,91kg,182 (107-3-72),52,2015-2024,20y 364d,30y 88d
294,13,"Murdoch, Joe",1908-10-30,183cm,82kg,180 (134-2-44),6,1927-1936,18y 210d,27y 311d
960,3,"Kellaway, Duncan",1973-02-17,186cm,85kg,180 (85-1-94),12,1993-2004,20y 80d,31y 117d
1108,5,"Ellis, Brandon",1993-08-03,181cm,82kg,176 (109-1-66),58,2012-2019,18y 239d,26y 56d
456,15,"Rowe, Des",1925-11-19,182cm,83kg,175 (77-1-97),24,1946-1957,20y 173d,31y 278d
1137,17,"Rioli, Daniel",1997-04-16,179cm,76kg,175 (98-4-73),104,2016-2024,18y 343d,27y 75d
1048,21,"Tuck, Shane",1981-12-24,189cm,92kg,173 (67-4-102),74,2004-2013,22y 192d,31y 258d
1004,39,"Kellaway, Andrew",1975-11-23,190cm,90kg,172 (78-0-94),30,1998-2006,22y 168d,30y 241d
1104,6,"Grigg, Shaun",1988-04-19,190cm,85kg,171 (97-2-72),86,2011-2018,22y 339d,30y 155d
391,22,"Merrett, Leo",1920-04-05,178cm,73kg,170 (107-1-62),53,1940-1949,20y 50d,29y 144d
460,24,"Poulter, Ray",1929-03-10,183cm,92kg,170 (86-1-83),351,1946-1956,17y 118d,27y 161d
526,29,"Branton, Ron",1933-06-10,170cm,71kg,170 (58-3-109),171,1953-1962,19y 312d,29y 76d
967,17,"Broderick, Paul",1970-01-03,178cm,85kg,169 (92-1-76),90,1994-2001,24y 82d,31y 262d
1139,15,"Short, Jayden",1996-01-24,178cm,76kg,167 (94-4-69),35,2016-2024,20y 68d,28y 158d
993,6,"Chaffey, Mark",1977-05-06,178cm,82kg,166 (70-0-96),34,1997-2006,19y 348d,29y 119d
944,10,"Daffy, Nick",1973-05-11,183cm,85kg,165 (86-1-78),181,1992-2001,18y 322d,28y 127d
169,17,"Don, Donald",1900-08-17,175cm,76kg,159 (95-2-62),157,1917-1928,16y 291d,28y 43d
318,7,"Martin, Ray",1909-11-18,173cm,73kg,159 (111-2-46),135,"1930, 1932-1940",20y 173d,30y 315d
725,21,"Balme, Neil",1952-01-15,194cm,96kg,159 (97-3-59),229,1970-1979,18y 212d,27y 166d
1049,23,"Jackson, Daniel",1986-04-25,188cm,91kg,156 (59-4-93),61,2004-2014,18y 83d,28y 79d
1093,12,"Astbury, David",1991-02-26,195cm,96kg,155 (86-4-65),9,2010-2021,19y 51d,30y 176d
796,19,"Strachan, Greg",1958-09-05,188cm,89kg,154 (81-1-72),8,1978-1987,19y 208d,28y 267d
1058,41,"Foley, Nathan",1985-09-08,178cm,79kg,154 (64-3-87),44,2005-2014,19y 261d,28y 364d
604,25,"Patterson, Michael",1941-01-07,193cm,96kg,152 (70-2-80),73,1959-1969,18y 171d,28y 228d
811,22,"Rowlings, Barry",1950-08-21,178cm,77kg,152 (79-1-72),117,1979-1986,28y 257d,35y 360d
106,22,"Hall, Clarrie",1890-01-18,160cm,64kg,150 (70-0-80),169,"1912-1922, 1924",22y 177d,34y 246d
573,5,"Crowe, Neville",1937-06-01,193cm,96kg,150 (63-2-85),84,1957-1967,19y 325d,30y 100d
353,24,"Smeaton, George",1917-05-27,183cm,86kg,149 (95-2-52),36,"1935-1942, 1944-1946",18y 47d,29y 96d
394,9,"Perkins, Bill",1920-02-10,185cm,83kg,148 (95-2-51),,1940-1949,20y 133d,29y 177d
477,19,"Spring, Geoff",1925-04-20,170cm,68kg,147 (69-2-76),63,1948-1957,22y 363d,32y 105d
584,15,"Swift, Fred",1938-07-06,183cm,83kg,146 (58-2-86),41,1958-1967,19y 280d,29y 79d
591,1,"Guinane, Paddy",1939-01-31,191cm,96kg,146 (67-3-76),216,1958-1968,19y 169d,29y 213d
689,37,"Green, Mike",1948-05-14,193cm,95kg,146 (101-0-45),83,"1966-1971, 1973-1975",18y 98d,27y 129d
880,34,"Hogg, Jeff",1966-10-15,190cm,89kg,144 (41-0-103),306,1986-1993,19y 179d,26y 317d
935,41,"Turner, Scott",1970-05-31,198cm,99kg,144 (61-0-83),33,1991-1999,20y 296d,29y 88d
924,6,"Naish, Chris",1971-09-27,172cm,71kg,143 (59-1-83),212,1990-1997,18y 185d,25y 316d
258,18,"OHalloran, Tom",1904-12-24,185cm,80kg,142 (99-1-42),120,1925-1934,20y 129d,29y 293d
414,5,"Morris, Bill",1921-04-24,188cm,86kg,140 (85-2-53),98,"1942, 1944-1951",21y 64d,30y 130d
1142,35,"Broad, Nathan",1993-04-15,192cm,89kg,140 (87-3-50),4,2016-2024,23y 71d,31y 76d
1149,25,"Nankervis, Toby",1994-08-12,199cm,102kg,138 (83-2-53),35,2017-2024,22y 223d,29y 323d
853,35,"Pickering, Michael",1963-11-30,187cm,80kg,136 (46-0-90),160,1984-1991,20y 122d,27y 274d
1132,23,"Lambert, Kane",1991-11-26,178cm,77kg,135 (92-1-42),78,2015-2022,23y 136d,30y 219d
777,4,"Raines, Geoff",1956-08-10,180cm,78kg,134 (77-3-54),55,1976-1982,19y 258d,26y 46d
