Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Bartlett, Kevin",403,8293,1086,858,9151,778,781,27,,,,,,931,856,160,,,,,,,
"Riewoldt, Jack",347,3085,1833,1023,4108,787,480,106,741,41,796,130,824,321,335,62,2004,2089,545,1038,582,29,249
"Cotchin, Trent",306,4019,993,2877,6896,141,123,48,1132,488,1124,1441,974,463,306,148,3262,3575,74,104,402,112,163
"Edwards, Shane",303,2451,789,2693,5144,189,154,15,838,326,793,799,706,195,250,17,2306,2805,78,144,402,133,211
"Martin, Dustin",301,4556,1167,2748,7304,338,230,18,835,346,1425,1159,1163,245,401,212,2935,4333,172,219,335,251,221
"Bourke, Francis",300,4163,1054,1288,5451,71,57,34,,,,,,715,696,139,,,,,,,
"Campbell, Wayne",297,4274,1243,2652,6926,172,118,74,595,351,638,713,252,370,299,70,1120,1910,66,71,224,111,27
"Richardson, Matthew",282,3082,2270,879,3961,800,551,89,134,51,641,35,550,309,397,140,1309,1445,506,703,248,33,86
"Knights, Matthew",279,3356,824,2582,5938,141,111,8,613,153,346,326,165,414,361,114,693,969,22,34,78,54,
"Weightman, Dale",274,2956,600,2736,5692,344,266,5,156,,,,,693,498,52,,,,,,,
"Newman, Chris",268,2863,1206,1409,4272,56,54,2,667,778,514,231,379,177,121,17,1280,2800,97,40,735,242,75
"Bowden, Joel",265,3665,1546,2176,5841,174,124,70,560,1006,751,447,613,210,220,41,1580,3494,132,124,638,526,49
"Sheedy, Kevin",251,3355,859,1174,4529,91,88,20,,,,,,759,440,62,,,,,,,
"Gale, Brendon",244,1975,1383,1215,3190,209,147,1832,231,101,124,251,86,302,311,35,396,343,88,32,92,,
"Deledio, Brett",243,2968,1300,2580,5548,182,140,80,688,555,980,572,497,193,127,75,1885,3551,134,154,419,526,119
"Keane, Merv",238,2590,640,1129,3719,36,56,9,,,,,,507,334,4,,,,,,,
"Grimes, Dylan",234,1476,898,1159,2635,3,5,,530,419,144,47,448,216,198,4,1072,1489,159,6,1179,40,7
"Lee, Mark",233,1639,896,1517,3156,94,58,4304,60,,,,,491,721,58,,,,,,,
"Vlastuin, Nick",226,2444,1306,1398,3842,29,14,6,599,871,304,127,527,205,228,8,1260,2327,136,24,721,38,46
"Jess, Jim",223,1953,972,868,2821,175,131,194,7,,,,,278,321,40,,,,,,,
"Cloke, David",219,2041,1238,1084,3125,272,211,895,26,,,,,342,526,54,,,,,,,
"Clay, Dick",213,2951,891,247,3198,80,122,9,,,,,,375,369,41,,,,,,,
"Wood, Bryan",209,2405,781,1092,3497,85,86,9,,,,,,386,431,55,,,,,,,
"Gaspar, Darren",207,1323,679,1073,2396,22,9,44,264,403,127,76,199,206,137,33,682,881,102,18,343,34,4
"Houli, Bachar",206,2735,1122,1926,4661,34,41,,516,782,576,170,435,142,101,26,1082,3249,51,36,423,256,53
"Rance, Alex",200,1775,1144,1547,3322,9,5,21,469,669,165,60,507,308,246,31,1302,2054,176,4,1557,108,21
"Roach, Michael",200,1819,1046,476,2295,607,307,380,9,,,,,190,307,37,,,,,,,
"Rogers, Matthew",197,2188,764,666,2854,163,143,2,270,211,330,105,158,100,171,13,352,927,33,93,107,28,4
"Tivendale, Greg",188,2107,719,956,3063,125,113,9,453,344,710,355,378,94,131,26,1001,2055,34,65,186,265,40
"Hart, Royce",187,2437,955,601,3038,369,333,11,,,,,,414,381,46,,,,,,,
"McIntosh, Kamdyn",182,1818,724,851,2669,52,40,3,423,354,486,147,516,94,147,2,839,1822,51,51,397,101,49
"Kellaway, Duncan",180,1398,570,1227,2625,12,11,26,557,114,129,188,104,242,140,11,420,597,13,10,145,,
"Ellis, Brandon",176,2218,939,1615,3833,58,57,1,416,461,415,245,397,99,116,25,1033,2753,46,45,217,149,47
"Rioli, Daniel",175,1400,572,1200,2600,104,64,1,531,254,382,87,342,142,97,6,837,1690,39,75,192,173,78
"Tuck, Shane",173,1974,782,2072,4046,74,56,189,639,285,599,801,459,164,171,35,1847,2218,69,47,270,34,57
"Kellaway, Andrew",172,1489,1047,1049,2538,30,16,27,329,406,187,107,222,213,91,10,802,1517,138,47,409,79,9
"Grigg, Shaun",171,2101,882,1719,3820,86,71,138,539,284,632,498,376,114,130,27,1191,2595,32,85,174,53,76
"Broderick, Paul",169,1692,436,1572,3264,90,62,9,376,78,182,268,68,125,129,46,320,450,9,29,43,27,
"Short, Jayden",167,2601,826,759,3360,35,30,,304,738,477,137,410,81,85,10,698,2336,22,12,199,176,34
"Chaffey, Mark",166,1822,728,818,2640,34,28,,230,379,382,162,247,65,81,10,753,1716,73,39,239,91,11
"Daffy, Nick",165,2299,413,568,2867,181,165,7,189,89,445,299,142,108,178,31,378,639,5,14,25,51,
"Balme, Neil",159,1351,660,736,2087,229,151,953,,,,,,328,431,16,,,,,,,
"Dean, Roger",157,2396,576,527,2923,120,114,10,,,,,,435,382,25,,,,,,,
"Jackson, Daniel",156,1643,592,1229,2872,61,71,47,591,184,506,443,434,125,198,17,1079,1812,34,48,236,27,53
"Astbury, David",155,1228,814,802,2030,9,6,25,200,384,100,30,254,111,100,2,679,1338,119,4,688,13,9
"Foley, Nathan",154,1436,394,1701,3137,44,38,7,644,200,440,589,380,124,155,25,1326,1844,8,18,135,268,79
"Strachan, Greg",154,1292,326,559,1851,8,10,36,,,,,,233,183,2,,,,,,,
"Rowlings, Barry",152,2606,404,723,3329,117,90,8,,,,,,227,249,22,,,,,,,
"Green, Mike",146,1214,808,454,1668,83,37,1094,,,,,,209,232,22,,,,,,,
"Hogg, Jeff",144,1228,570,360,1588,306,197,15,85,,,,,173,149,7,,,,,,,
"Turner, Scott",144,1017,375,459,1476,33,26,113,100,103,7,5,21,168,166,4,35,51,8,,5,5,
"Naish, Chris",143,1428,352,727,2155,212,148,,196,,,,,160,110,15,,,,,,,
"Broad, Nathan",140,1285,665,637,1922,4,2,6,249,436,142,22,281,71,90,2,532,1326,62,2,632,60,8
"Nankervis, Toby",138,1071,404,1067,2138,35,33,3567,564,193,288,491,557,174,271,12,1200,879,96,28,525,,27
"Pickering, Michael",136,1529,872,934,2463,160,126,5,78,,,,,232,194,19,,,,,,,
"Lambert, Kane",135,1239,491,1320,2559,78,57,,455,124,442,280,340,77,87,27,917,1620,11,77,146,18,92
"Raines, Geoff",134,2177,464,962,3139,55,92,18,,,,,,304,315,38,,,,,,,
"Castagna, Jason",134,879,473,710,1589,127,106,1,342,44,290,52,263,80,67,2,548,1036,39,165,85,48,55
"Free, Tony",133,2190,376,549,2739,46,59,10,187,,,,,288,232,16,,,,,,,
"Ottens, Brad",129,896,666,702,1598,152,79,2015,191,76,266,352,230,154,165,12,982,596,244,194,185,33,11
"Bolton, Shai",127,1293,429,895,2188,151,133,1,349,60,534,394,443,81,150,45,992,1250,53,124,160,158,97
"Graham, Jack",125,1043,279,997,2040,49,25,,662,120,400,227,355,108,143,9,752,1336,2,24,87,20,60
"Egan, Phil",125,1230,473,627,1857,117,128,1,31,,,,,136,175,24,,,,,,,
"Richardson, Barry",125,1233,534,191,1424,134,68,4,,,,,,236,196,10,,,,,,,
"Holland, Ben",125,807,496,550,1357,124,67,193,173,105,153,123,126,115,129,6,566,459,150,97,107,7,2
"Prestia, Dion",123,1505,370,1404,2909,41,42,,455,219,455,576,440,117,99,46,1199,1732,3,32,138,21,69
"Lambert, Craig",123,1360,267,1488,2848,53,62,2,250,,,,,213,169,30,,,,,,,
"Baker, Liam",122,1243,444,989,2232,50,52,,312,240,325,148,399,99,146,13,838,1378,13,53,236,30,45
"Malthouse, Mick",121,1228,226,562,1790,10,12,4,,,,,,244,252,1,,,,,,,
"Landy, Graeme",120,1244,443,586,1830,38,25,29,,,,,,198,191,20,,,,,,,
"Vickery, Ty",119,670,466,534,1204,158,81,786,224,27,155,136,206,115,112,8,589,641,130,194,214,9,49
"Rioli, Maurice",118,1645,243,852,2497,80,57,6,55,,,,,252,200,60,,,,,,,
"Monteath, Bruce",118,1679,444,552,2231,198,166,9,,,,,,290,324,14,,,,,,,
"Torney, Jason",118,784,360,582,1366,16,18,3,167,188,119,90,79,88,78,3,343,548,43,17,131,49,
"Johnson, Kane",116,1436,636,1083,2519,32,24,14,329,244,389,349,233,131,76,22,775,1760,14,28,148,36,62
"Bond, Graeme",115,1319,211,231,1550,61,83,1,,,,,,151,199,8,,,,,,,
"Dunne, Emmett",115,974,453,465,1439,56,60,476,,,,,,185,231,11,,,,,,,
"Pettifer, Kayne",113,1156,593,353,1509,132,85,,168,82,397,80,208,90,77,7,447,1060,48,143,93,39,49
"Hunt, Rex",113,1168,655,123,1291,121,123,68,,,,,,154,159,35,,,,,,,
"Morris, Kevin",110,1389,213,275,1664,71,64,20,,,,,,257,183,9,,,,,,,
"Leys, Brian",110,935,319,396,1331,19,6,17,87,,,,,172,129,1,,,,,,,
"Tambling, Richard",108,931,505,681,1612,61,55,19,314,98,265,144,197,77,63,9,527,1104,40,65,138,94,45
"King, Jake",107,868,420,625,1493,79,46,2,296,116,251,111,274,159,159,4,631,898,26,52,206,99,65
"White, Matt",105,806,361,481,1287,54,33,4,338,99,281,130,181,58,93,2,453,849,18,28,178,101,47
"McGuane, Luke",105,629,452,611,1240,39,26,30,230,198,87,30,236,60,135,,476,763,73,42,444,70,17
"Conca, Reece",104,1070,358,797,1867,23,35,3,385,172,265,226,293,97,133,4,648,1143,12,21,123,59,32
"Palm, David",104,727,283,723,1450,38,27,,74,,,,,200,161,7,,,,,,,
"Krakouer, Andrew",102,665,247,366,1031,102,60,3,303,34,179,186,151,95,59,2,539,487,19,57,108,34,38
"Bond, Chris",100,1011,204,482,1493,32,29,2,228,,,,,164,132,23,,,,,,,
